73

15	-180	0
15	-175	0
15	-170	0
15	-165	0
15	-160	0
15	-155	0
15	-150	0
15	-145	0
15	-140	0
15	-135	0
15	-130	0
15	-125	0
15	-115	0
15	-115	0
15	-110	0
15	-105	0
15	-100	0
15	-95	0
15	-90	0
15	-85	0
15	-80	0
15	-75	0
15	-70	0
15	-65	0
15	-60	0
15	-55	0
15	-50	0
15	-45	0
15	-40	0
15	-35	0
15	-30	0
15	-25	0
15	-15	0
15	-15	0
15	-10	0
15	-5	0
15	0	0
15	5	0
15	10	0
15	15	0
15	15	0
15	25	0
15	30	0
15	35	0
15	40	0
15	45	0
15	50	0
15	55	0
15	60	0
15	65	0
15	70	0
15	75	0
15	80	0
15	85	0
15	90	0
15	95	0
15	100	0
15	105	0
15	110	0
15	115	0
15	115	0
15	125	0
15	130	0
15	135	0
15	140	0
15	145	0
15	150	0
15	155	0
15	160	0
15	165	0
15	170	0
15	175	0
15	180	0
